https://fragalysis.diamond.ac.uk/viewer/react/projects/312/279,,,,,
smiles,name,compound_set,red,red-text,blue
COC(=O)c1ccc(O)c(NC(N)=O)c1,CHIKV_Mac-DKFX,Fstein_pures_adenine-2024-04-05-A,,,TRUE
CC(=O)Nc1ccc(O)c(NC(N)=O)c1,CHIKV_Mac-AW7C,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Oc1ccc2c(c1)CCCC[C@@H]2O,CHIKV_Mac-AM6S,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cc2c(O)ccc3c2c(n1)N(C)N=C3,CHIKV_Mac-79AZ,Fstein_pures_adenine-2024-04-05-A,,,TRUE
CC1=Cc2cccc3nn(C)c(c23)N1,CHIKV_Mac-C93W,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Oc1ccc2c(c1)[nH]c1ccccc12,CHIKV_Mac-CTY4,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
COC(=O)c1ccc(O)cc1Br,CHIKV_Mac-9C7E,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Cn1c#cc2c3c(CC(N)=O)cc(O)cc3[nH]c21,CHIKV_Mac-6VF4,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
COc1ncc2cc(O)ccc2c1C(=O)NCC(=O)N(C)C,CHIKV_Mac-CS36,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
C[C@@H]1CCCc2cc(O)ccc2C(=O)C1,CHIKV_Mac-7CCM,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCOC(=O)c1cc(O)ccc1C(=O)OC,CHIKV_Mac-6GGY,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCOC(=O)c1c(CO)n[nH]c1C,CHIKV_Mac-7ARP,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1ccc2cc(O)ccc2c1O,CHIKV_Mac-4VND,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Cc1cnc2cc(O)ccc2c1O,CHIKV_Mac-9FRA,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Nc1cnc2cc(O)ccc2c1O,CHIKV_Mac-5TGV,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC[C@H]1CCCCc2c1c(C)nn2O,CHIKV_Mac-A4MK,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCCc1ccc(N)c2c1c(C)nn2O,CHIKV_Mac-6NFK,Fstein_pures_adenine-2024-04-05-A,,,TRUE
CCCNc1cc(/C=C\N(C=O)CC)n[nH]1,CHIKV_Mac-D7KC,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCN(C=O)C(=O)c1cnc2[nH]cccc1-2,CHIKV_Mac-6EKY,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCOC(=O)c1c(C(C)C)n[nH]c1C,CHIKV_Mac-5R9X,Fstein_pures_adenine-2024-04-05-A,,,TRUE
CCc1ccc2n[nH]c(CC)c2c1O,CHIKV_Mac-AYZL,Fstein_pures_adenine-2024-04-05-A,,,TRUE
