https://fragalysis.diamond.ac.uk/viewer/react/projects/320/287,,,,,
smiles,name,compound_set,red,red-text,blue
COCC(=O)Nc1ccc(O)c(Br)c1N,CHIKV_Mac-7U4L,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CN[C@H](C)CC1=CNC=CC(CC[C@H](C)NC(N)=O)=C1,CHIKV_Mac-FU7M,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1ccc(O)cc1N,CHIKV_Mac-D5X9,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COc1ccccc1C(=O)Nc1ccc(O)cc1,CHIKV_Mac-DM6X,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
O=C(Nc1ccc(O)cc1)c1ccccc1OO,CHIKV_Mac-4MH3,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1ccc(O)cc1N,CHIKV_Mac-66FE,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Oc1ccc(Nc2ccncc2O)cc1,CHIKV_Mac-4X4D,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
N[C@H]1NCC[C@@H](c2ccc(O)cc2)N1,CHIKV_Mac-6LZV,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CN(NCc1cn(C)c2ccccc12)C(=O)c1cccc2cc[nH]c12,CHIKV_Mac-KUNP,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CCc1cc[nH]c1[C@@H]1C[C@@H](CCCN)[C@](C)(Nc2ccccn2)C1=O,CHIKV_Mac-DAKF,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CC[C@@H](O)C2(C1)NCCN2,CHIKV_Mac-9M6H,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1ccc(O)c2ccc(N)nc12,CHIKV_Mac-AM6L,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Nc1ccc2c(CNc3ccc(O)cc3)cccc2n1,CHIKV_Mac-CJGG,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1ccc(O)c2c1[C@H](C(N)=O)CCC[C@H]2Cl,CHIKV_Mac-96J7,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Oc1ccc(Nn2cccc3ccnc2-3)cc1,CHIKV_Mac-AJH4,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Nc1ccc(S(=O)(=O)Nc2cccnc2N)cc1,CHIKV_Mac-5LGF,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Nc1ccc(S(=O)(=O)Nc2ccccc2N)cc1,CHIKV_Mac-CYSJ,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
c1cc2c([nH]1)[C@@]1(CCCNC1)CCC2,CHIKV_Mac-AH39,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
C[C@@H]1NS[C@@]2(C[C@@H](C(N)=O)Cc3cc[nH]c32)[C@H]1C#N,CHIKV_Mac-5MHG,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1CC[C@@H](O)CC12CCCCC2,CHIKV_Mac-DDVY,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1ccc(O)cc1C(N)=O,CHIKV_Mac-9PXU,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
NC(=O)c1ccc(C(=O)Nc2ccc(O)cc2)cc1O,CHIKV_Mac-6SU4,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Cc1ccc(=O)n(Cc2cc(C)[nH]c2NS(=O)(=O)c2ccc(N)cc2)n1,CHIKV_Mac-AD7G,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
O=C(Nc1ccccc1)c1cccnc1NO,CHIKV_Mac-WF53,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)N1CN(C)c2cc(-c3ccn[nH]3)ccc21,CHIKV_Mac-4RSD,Fstein_pures_arg144-2024-04-08-A,,,TRUE
Nc1ccc(S(=O)(=O)NN2COc3cc(-c4ccn[nH]4)ccc32)cc1,CHIKV_Mac-7RFL,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Nc1ccc(S(=O)(=O)Nc2ccc3cc(-c4ccn[nH]4)c[nH]c2-3)cc1,CHIKV_Mac-EFDY,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
O=C(Nc1ccc(O)cc1)c1cccnc1NO,CHIKV_Mac-CGC6,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Cc1ccc(=O)n([C@H](O)c2cc(C)[nH]c2C(=O)Nc2ccccc2)n1,CHIKV_Mac-9DF9,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CNC(=O)c1c(-c2cc[nH]n2)ccc2c1OCO2,CHIKV_Mac-FDNF,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
