SMILES,ID,r_i_docking_score,Product,Similarity_to_query,BB,Reaction_name,BB_source,BB_URL,mw,logp,hba,hbd,tpsa,qed,num_rotatable_bonds,fsp3,esol,pka,logd,cns_mpo_score,stoplight_color,plot_color
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](CO)Cc2ccncc2)cs1,enum-014949,-8.15636,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(CO)Cc2ccncc2)cs1,0.56,Cl.Cl.NC(CO)Cc1ccncc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-174555,399.476,1.438,6,4,120,0.457,8,0.263,408.248,5.803,1.487,3.718,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCc2ccc(-c3nc[nH]n3)cc2)cs1,enum-022291,-8.14586,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCc2ccc(-c3nc[nH]n3)cc2)cs1,0.54,Cl.Cl.NCc1ccc(-c2nc[nH]n2)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1708810,421.486,2.425,6,4,128.45,0.364,7,0.15,62.681,2.693,1.927,3.561,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(C)(C)c2ccc(C(C)(C)C)cc2)cs1,enum-003907,-8.13163,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(C)(C)c2ccc(C(C)(C)C)cc2)cs1,0.6,CC(C)(C)c1ccc(C(C)(C)N)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-115575,438.597,4.672,4,3,86.88,0.523,6,0.375,0.978,2.422,4.125,2.769,yellow,gold
CCc1ccc([C@@H](NC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)C(=O)[O-])cc1,enum-006676,-8.12903,CCc1ccc(C(NC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)C(=O)O)cc1,0.58,CCc1ccc(C(N)C(=O)O)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-88019,426.498,2.828,5,4,124.18,0.441,8,0.238,82.713,2.374,1.503,3.525,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCc2ccc(-n3ccnc3C)nc2)cs1,enum-030869,-8.12799,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCc2ccc(-n3ccnc3C)nc2)cs1,0.52,Cc1nccn1-c1ccc(CN)cn1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-43211,435.513,2.529,7,3,117.59,0.412,7,0.19,56.241,5.543,1.994,3.708,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@H](O)COc2ccc(F)c(F)c2)cs1,enum-034696,-8.12482,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(O)COc2ccc(F)c(F)c2)cs1,0.51,NCC(O)COc1ccc(F)c(F)c1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-70134,450.467,2.158,6,4,116.34,0.399,9,0.25,57.913,2.403,1.949,3.476,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@@H](c2ccccc2)n2cccn2)cs1,enum-028650,-8.12121,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(c2ccccc2)n2cccn2)cs1,0.52,NCC(c1ccccc1)n1cccn1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-88975,434.525,2.926,6,3,104.7,0.397,8,0.182,32.18,2.708,2.237,4.026,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(=O)c2ccc(Cl)s2)cs1,enum-007705,-8.11982,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(=O)c2ccc(Cl)s2)cs1,0.58,Cl.NCC(=O)c1ccc(Cl)s1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-345921,422.919,3.037,6,3,103.95,0.509,7,0.176,19.301,2.363,2.496,3.985,red,red
Cc1nc(-c2ccc(CNC(=O)c3csc(CNC(=O)c4cc[nH]c4C)n3)cc2)n[nH]1,enum-018669,-8.11386,Cc1nc(-c2ccc(CNC(=O)c3csc(CNC(=O)c4cc[nH]c4C)n3)cc2)n[nH]1,0.55,Cc1nc(-c2ccc(CN)cc2)n[nH]1.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1720901,435.513,2.733,6,4,128.45,0.355,7,0.19,32.742,3.175,2.295,3.313,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](C(=O)[O-])c2cnn(C)c2C)cs1,enum-011574,-8.10942,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(C(=O)O)c2cnn(C)c2C)cs1,0.57,Cc1c(C(N)C(=O)O)cnn1C,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-174353,416.463,1.307,7,4,142,0.457,7,0.278,776.39,2.818,0.714,3.597,yellow,gold
