https://fragalysis.diamond.ac.uk/viewer/react/projects/315/282,,,,,
smiles,name,compound_set,red,red-text,blue
COC(=O)c1c2ccc[nH]c-2nc1N,CHIKV_Mac-CD4A,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
COC(=O)n1c(N)nc2ccccc21,CHIKV_Mac-6UGF,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
COC1=NN[C@H]2N[C@@H]3NCCC[C@@H]3[C@H]12,CHIKV_Mac-65V6,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
COC(=O)c1cnc2[nH]cc(C)cc1-2,CHIKV_Mac-CW5W,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
C/N=C(/OC)c1cn(N)c2ncccc12,CHIKV_Mac-94U5,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
COC[C@@H](C)n1c(N)nc2ccccc21,CHIKV_Mac-AWSC,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
NCCN1C(=O)c2c[nH]c3c2[C@H]1CCN3,CHIKV_Mac-65HR,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
N[C@@H]1CCc2ncccc2N1,CHIKV_Mac-U6ZS,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
C[C@H]1CNC2=CC=CN3C2=C1N=CN3C,CHIKV_Mac-DNHP,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
c1cc2c3c(cccc3c1)NCC2,CHIKV_Mac-53XN,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
C[C@H]1C[C@]2(C)CCNc3cccc1c32,CHIKV_Mac-6XHD,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Brc1cccc2c1CCCN2,CHIKV_Mac-9END,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Br[C@@H]1CCNc2cccnc21,CHIKV_Mac-CUWP,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Br[C@H]1CCNC2=C1NCCC2,CHIKV_Mac-9WLK,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CN(C)C(=O)CNc1c(O)ccc2c1CCCN2,CHIKV_Mac-49SZ,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
C1=CN2N=CC=NC3=C2C(=C1)NCC3,CHIKV_Mac-5RKV,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
ON1CCCc2ncccc21,CHIKV_Mac-DAGA,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Nc1ccc2c(n1)CCCN2,CHIKV_Mac-D4UE,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CCOC[C@H]1c2ncccc2NC[C@H]1C,CHIKV_Mac-6HW3,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC(C)C(=NO)Nc1cccc(NC(N)=O)c1,CHIKV_Mac-9YME,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC(C)C(=NO)c1cccc(Cl)c1,CHIKV_Mac-4VU6,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
C[C@@H]1Oc2cc(-c3cc[nH]n3)cc(N)c2O1,CHIKV_Mac-5DSR,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
C[C@@H]1Oc2cc(O)cc(N)c2O1,CHIKV_Mac-YELM,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Cc1cc(C)c2/c(=N/N)n(C(C)C)[nH]c2n1,CHIKV_Mac-9GCC,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
C[C@@H]1Cc2cc(CO)cc(N)c2O1,CHIKV_Mac-7CYL,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC(C)C(=NO)c1cnn(CCO)c1,CHIKV_Mac-D5DT,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC(C)[C@@](N)(O)c1cnn(CCO)c1,CHIKV_Mac-DLJ4,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
C[C@H]1C(=NO)c2cn(C)nc2[C@H]1F,CHIKV_Mac-75Z5,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Cn1cc(C(=O)NN)c(C(F)F)n1,CHIKV_Mac-6P54,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC(C)c1cc(Br)ccc1ON,CHIKV_Mac-AR5P,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC(C)/C(=N/O)c1cc(Br)ccn1,CHIKV_Mac-DU9W,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC1(C)CCc2ccn(N)c2N1,CHIKV_Mac-AU39,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC1(C)CCc2ccn(N)c2N1,CHIKV_Mac-Y47E,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC(C)c1cc(-c2ncc[nH]2)cc(O)n1,CHIKV_Mac-CVX6,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC(C)C(=NO)c1ccc(O)cc1,CHIKV_Mac-94C6,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC(C)C(=NO)c1cccc2cc[nH]c12,CHIKV_Mac-4YUC,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC(C)c1cccc2[nH]cnc12,CHIKV_Mac-AFNF,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Nc1nccc2cccc(O)c12,CHIKV_Mac-CUCV,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CNc1nccc2ccc(C=O)cc12,CHIKV_Mac-4DJX,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Cc1cc2ccccc2c(NN)n1,CHIKV_Mac-7KLU,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Cc1cc(C)c2c(N)ncc(C)c2c1,CHIKV_Mac-7VSR,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Nc1nccc2ccc(CO)cc12,CHIKV_Mac-69EU,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
C1=Nc2nccc3cccc1c23,CHIKV_Mac-6GCE,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Cc1c(C(N)=O)cc(N)c2ccnc(N)c12,CHIKV_Mac-4TDK,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC1=CNc2ccc(O)c3cccc1c23,CHIKV_Mac-A9JJ,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Nc1nc(N)c2cccc(O)c2c1O,CHIKV_Mac-UH49,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Oc1ccc2c3c([nH]cc13)NC=C2,CHIKV_Mac-4GCP,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
Cc1cc(C)c2c(=O)[nH]n3c2c1CC3,CHIKV_Mac-6HCZ,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC1=NC(=O)c2c(C)cc(C)c(Cl)c21,CHIKV_Mac-7XZZ,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,
CC1=NC(=O)C(C(C)C)=C1N(C)N(C)C,CHIKV_Mac-CDK5,Fstein_pures_ade2_ba-2024-04-05-A,TRUE,red,TRUE
